TE_LABEL,WAFER_ID,TYPE,X_UM,Y_UM,COD_ROLL_EVAL,POT_FAILMODE,MAX_PD,MEAN_PD,MIN_DELTA,CURRENT_AT_ROLLOVER,CURRENT_AT_SPD,DV_DI_AT_COD
118K05,QCHWK,SILC,-62113,-20099,ROLLOVER,ROLLOVER,48.39868,28.478795176,26.824769175999997,216.0,,
118K6V,QCHWK,BL LASER,-62369,-7916,ROLLOVER,ROLLOVER,45.984163,26.985828524000002,24.932668524000004,210.0,,
118K6W,QCHWK,BL LASER,-62113,-7949,ROLLOVER,ROLLOVER,46.049864,26.760821784,19.778432784000003,210.0,,
118K6X,QCHWK,BL LASER,-61856,-7982,ROLLOVER,ROLLOVER,45.486477,26.800117648,24.699323648,210.0,,
118L05,QCHWK,SILC,-62883,-20099,ROLLOVER,ROLLOVER,48.797815,28.521205268000003,26.200312268000005,212.0,,
118L6V,QCHWK,BL LASER,-63139,-7916,ROLLOVER,ROLLOVER,46.24861,27.018876184,24.238075184,216.0,,
118L6W,QCHWK,BL LASER,-62883,-7949,ROLLOVER,ROLLOVER,46.233828,26.862316968,24.365673967999992,211.0,,
118L6X,QCHWK,BL LASER,-62626,-7982,ROLLOVER,ROLLOVER,45.851118,26.827607016,24.735026016,211.0,,
118M05,QCHWK,SILC,-63653,-20099,ROLLOVER,ROLLOVER,49.382555,28.788562900000002,27.499177900000007,214.0,,
118M6V,QCHWK,BL LASER,-63909,-7916,ROLLOVER,ROLLOVER,46.948328,26.990979504,24.154332504,214.0,,
118M6W,QCHWK,BL LASER,-63653,-7949,ROLLOVER,ROLLOVER,46.618179,27.076588072,24.663714071999998,215.0,,
118M6X,QCHWK,BL LASER,-63396,-7982,ROLLOVER,ROLLOVER,46.181267,26.913307612,24.556278612000003,216.0,,
118N6V,QCHWK,BL LASER,-64679,-7916,ROLLOVER,ROLLOVER,47.523213,26.579059588,22.027612588000004,209.0,,
118N6W,QCHWK,BL LASER,-64423,-7949,ROLLOVER,ROLLOVER,47.50843,27.078217448,22.741941448,213.0,,
118N6X,QCHWK,BL LASER,-64166,-7982,ROLLOVER,ROLLOVER,46.485135,26.794296544,24.691859544,211.0,,
120C05,QCHWK,SILC,-34393,-20099,ROLLOVER,ROLLOVER,47.286689,28.25066106,26.657408059999995,218.0,,
120D05,QCHWK,SILC,-35163,-20099,ROLLOVER,ROLLOVER,48.126021,28.3550076,26.8767316,216.0,,
120E05,QCHWK,SILC,-35933,-20099,ROLLOVER,ROLLOVER,47.613552,28.282046475999998,26.383283476,216.0,,
120H6V,QCHWK,BL LASER,-38499,-7916,ROLLOVER,ROLLOVER,45.851118,26.701368856000002,25.086762856,209.0,,
120H6W,QCHWK,BL LASER,-38243,-7949,ROLLOVER,ROLLOVER,45.841263,26.592672848,24.861447847999997,207.0,,
120H6X,QCHWK,BL LASER,-37986,-7982,ROLLOVER,ROLLOVER,45.612952,26.654050859999998,24.69779886,209.0,,
120I6V,QCHWK,BL LASER,-39269,-7916,ROLLOVER,ROLLOVER,46.297886,26.582462888,24.325628888,208.0,,
120I6W,QCHWK,BL LASER,-39013,-7949,ROLLOVER,ROLLOVER,46.100783,26.45421426,20.21096326,208.0,,
120I6X,QCHWK,BL LASER,-38756,-7982,ROLLOVER,ROLLOVER,45.957883,26.571727332,24.699245331999993,208.0,,
120J05,QCHWK,SILC,-39783,-20099,ROLLOVER,ROLLOVER,48.921005,28.483413928,26.826102928,217.0,,
120J6V,QCHWK,BL LASER,-40039,-7916,ROLLOVER,ROLLOVER,46.406293,26.98705714,25.137570139999998,208.0,,
120J6W,QCHWK,BL LASER,-39783,-7949,ROLLOVER,ROLLOVER,46.067932,26.645003816,24.872715815999996,208.0,,
120J6X,QCHWK,BL LASER,-39526,-7982,ROLLOVER,ROLLOVER,46.012086,26.643821196,24.897813195999998,209.0,,
120K05,QCHWK,SILC,-40553,-20099,ROLLOVER,ROLLOVER,48.753467,28.443513656,27.076929656,216.0,,
120K6V,QCHWK,BL LASER,-40809,-7916,ROLLOVER,ROLLOVER,46.376728,26.857776988,24.863746988,208.0,,
120K6W,QCHWK,BL LASER,-40553,-7949,ROLLOVER,ROLLOVER,46.284746,26.65623216,24.859305159999995,208.0,,
120K6X,QCHWK,BL LASER,-40296,-7982,ROLLOVER,ROLLOVER,45.998946,26.671409092,24.672452092000004,208.0,,
120L05,QCHWK,SILC,-41323,-20099,ROLLOVER,ROLLOVER,48.428246,28.57307626,26.932190260000002,216.0,,
120L6V,QCHWK,BL LASER,-41579,-7916,ROLLOVER,ROLLOVER,46.297886,26.879852544000002,24.616448544,209.0,,
120L6W,QCHWK,BL LASER,-41323,-7949,ROLLOVER,ROLLOVER,46.67074,26.696276991999998,24.580699991999996,208.0,,
120L6X,QCHWK,BL LASER,-41066,-7982,ROLLOVER,ROLLOVER,46.281461,26.659130128,24.845779128000004,208.0,,
120M05,QCHWK,SILC,-42093,-20099,ROLLOVER,ROLLOVER,48.878299,28.252494092,26.150057092,215.0,,
120M6V,QCHWK,BL LASER,-42349,-7916,ROLLOVER,ROLLOVER,46.721659,26.62420942,24.38380042,207.0,,
120M6W,QCHWK,BL LASER,-42093,-7949,ROLLOVER,ROLLOVER,46.296244,26.817489016,24.724907016,208.0,,
120M6X,QCHWK,BL LASER,-41836,-7982,ROLLOVER,ROLLOVER,46.058077,26.717905803999997,24.768223803999994,208.0,,
120N6V,QCHWK,BL LASER,-43119,-7916,ROLLOVER,ROLLOVER,46.559048,26.650529316,24.617078316,207.0,,
120N6W,QCHWK,BL LASER,-42863,-7949,ROLLOVER,ROLLOVER,46.20919,26.161003735999998,17.555795735999997,208.0,,
120N6X,QCHWK,BL LASER,-42606,-7982,ROLLOVER,ROLLOVER,46.260108,26.96704454,24.59194854,209.0,,
122C05,QCHWK,SILC,-12833,-20099,ROLLOVER,ROLLOVER,47.373743,28.704261772000002,26.958253772000006,218.0,,
122D05,QCHWK,SILC,-13603,-20099,ROLLOVER,ROLLOVER,47.168426,28.554042688000003,26.382619688000005,218.0,,
122E05,QCHWK,SILC,-14373,-20099,ROLLOVER,ROLLOVER,47.35239,28.359738099999998,26.625228099999998,219.0,,
122H6V,QCHWK,BL LASER,-16939,-7916,ROLLOVER,ROLLOVER,45.565318,27.283264212000002,25.785278212000005,207.0,,
122H6W,QCHWK,BL LASER,-16683,-7949,ROLLOVER,ROLLOVER,45.591599,27.225782264000003,25.563543264000003,207.0,,
122H6X,QCHWK,BL LASER,-16426,-7982,ROLLOVER,ROLLOVER,45.333722,27.359799491999997,25.891378491999998,207.0,,
122I6V,QCHWK,BL LASER,-17709,-7916,ROLLOVER,ROLLOVER,45.517685,27.457043736,25.977125735999998,206.0,,
122I6W,QCHWK,BL LASER,-17453,-7949,ROLLOVER,ROLLOVER,45.557106,27.538637972,25.912533972000002,207.0,,
122I6X,QCHWK,BL LASER,-17196,-7982,ROLLOVER,ROLLOVER,45.598169,26.920673804,20.248722804,206.0,,
122J05,QCHWK,SILC,-18223,-20099,ROLLOVER,ROLLOVER,47.289974,28.508846836,26.465540836,218.0,,
122J6V,QCHWK,BL LASER,-18479,-7916,ROLLOVER,ROLLOVER,45.603097,27.291969595999998,25.815335596,207.0,,
122J6W,QCHWK,BL LASER,-18223,-7949,ROLLOVER,ROLLOVER,45.451984,27.548381468,26.006047468,207.0,,
122J6X,QCHWK,BL LASER,-17966,-7982,ROLLOVER,ROLLOVER,45.35179,27.351488276,25.694177276,206.0,,
122K05,QCHWK,SILC,-18993,-20099,ROLLOVER,ROLLOVER,47.087943,28.363936396,25.937921396000004,218.0,,
122K6V,QCHWK,BL LASER,-19249,-7916,ROLLOVER,ROLLOVER,45.530825,27.359996556,25.791381555999997,207.0,,
122K6W,QCHWK,BL LASER,-18993,-7949,ROLLOVER,ROLLOVER,45.284446,26.846331844,23.313252844,206.0,,
122K6X,QCHWK,BL LASER,-18736,-7982,ROLLOVER,ROLLOVER,45.407636,27.429133892,25.921292892,207.0,,
122L05,QCHWK,SILC,-19763,-20099,ROLLOVER,ROLLOVER,46.93026,28.465267272000002,26.957425272,217.0,,
122L6V,QCHWK,BL LASER,-20019,-7916,ROLLOVER,ROLLOVER,45.701648,27.627761604,26.014798604,207.0,,
122L6W,QCHWK,BL LASER,-19763,-7949,ROLLOVER,ROLLOVER,45.668798,27.510005420000002,25.918395420000003,207.0,,
122L6X,QCHWK,BL LASER,-19506,-7982,ROLLOVER,ROLLOVER,45.471694,27.05747564,25.45436764,207.0,,
122M05,QCHWK,SILC,-20533,-20099,ROLLOVER,ROLLOVER,46.759437,28.22244898,24.490622979999998,218.0,,
122M6V,QCHWK,BL LASER,-20789,-7916,ROLLOVER,ROLLOVER,45.652372,27.568834228,26.001861227999996,207.0,,
122M6W,QCHWK,BL LASER,-20533,-7949,ROLLOVER,ROLLOVER,45.67044,27.318867676,25.709189676000005,206.0,,
122M6X,QCHWK,BL LASER,-20276,-7982,ROLLOVER,ROLLOVER,45.455269,27.407597052,25.794634052,207.0,,
122N6V,QCHWK,BL LASER,-21559,-7916,ROLLOVER,ROLLOVER,45.366572,27.211209756,25.619598756,207.0,,
122N6W,QCHWK,BL LASER,-21303,-7949,ROLLOVER,ROLLOVER,45.412563,27.242069572000002,25.707948571999996,207.0,,
122N6X,QCHWK,BL LASER,-21046,-7982,ROLLOVER,ROLLOVER,44.95594,27.249125868,25.736356868,207.0,,
124C05,QCHWK,SILC,8727,-20099,ROLLOVER,ROLLOVER,47.24234,28.9837216,27.218003599999996,218.0,,
124D05,QCHWK,SILC,7957,-20099,ROLLOVER,ROLLOVER,47.257123,28.744576012000003,27.046202012000002,217.0,,
124E05,QCHWK,SILC,7187,-20099,ROLLOVER,ROLLOVER,47.485434,28.853429676,27.444140676,217.0,,
124H6V,QCHWK,BL LASER,4621,-7916,ROLLOVER,ROLLOVER,45.750924,27.676840344,26.149289344,206.5,,
124H6W,QCHWK,BL LASER,4877,-7949,ROLLOVER,ROLLOVER,46.053149,27.731667984,26.136772984,206.0,,
124H6X,QCHWK,BL LASER,5134,-7982,ROLLOVER,ROLLOVER,45.627735,27.228252616000002,25.321276616000002,207.0,,
124I6V,QCHWK,BL LASER,3851,-7916,ROLLOVER,ROLLOVER,45.782132,27.680710168,26.149874168000004,206.0,,
124I6W,QCHWK,BL LASER,4107,-7949,ROLLOVER,ROLLOVER,45.708218,27.275590292,25.319338292,207.0,,
